NICKstateNAME                   2011/can/toronto2011.tou 20110925
IPRE NIG Igali Precious         23 1865 20110909
PAVR --- Paul Avrin             18 1865 19951026
ASIM --- Allan Simmons         243 1864 20091129
EBOB NGA Edewor Bobor           67 1863 20110909
WWAR --- Wilma Warwick          60 1863 20071203
ABHA --- Akshay Bhandarkar     463 1862 20100115
PLIT --- Patrick Litunya       380 1862 20110423
TKUK --- Thanapong Kukiet      199 1861 20110626
VBAL --- Vannitha Balasingam   461 1859 20101205
MGON --- Michael Gongolo       390 1859 20110423
WWIL --- Walker Willingham      24 1859 20031023
THOV --- Trevor Hovelmeier     224 1858 20091129
EDAN --- Elie Dangoor          252 1857 20101010
NONO NGA Noble Onoshevwe        82 1856 20110909
MSCH --- Mark Schellenberg     107 1855 20091204
LWAN --- Lakshan Wanni         389 1854 20110703
NKES --- Nuttakrit Keska       133 1854 20041219
MHOR --- Michael Hornung        73 1854 20081130
GRIC --- Geria Richard         161 1853 20110423
SPOL --- Steve Polatnick       442 1852 20110717
MTHE USA Michael Thelen         32 1852 20100215
LBEN --- Larry Benjamin         18 1852 19930830
KSRI --- Kittana Srimaha        12 1852 20000705
BCHO --- Benjamin Chow          86 1851 20071204
JNEU --- Jim Neuberger          18 1851 19930830
LPOW --- Lynne Powell           47 1850 19981123
DSRI --- Daniel Srichawla      294 1849 20110626
SPOL --- Sompong Polsongkram   187 1848 20080629
TWEI --- Toh Weibin            206 1847 20110703
RMAG --- Robins Magaki         130 1847 20090606
VKIN --- Venayori Kinga        112 1847 20101031
ADRE --- Anne Drew              96 1846 20100816
VHIN --- Varisht Hingorani     188 1845 20090118
NGRE --- Neil Green             98 1845 20110123
TSIM --- Tony Sim             1160 1844 20110703
LBUT --- Lynne Butler          159 1843 20071111
PFIN --- Pete Finley            66 1843 20051119
KMCK USA Kelly McKenzie         40 1842 20110717
KKHA --- Kweku Khan             24 1842 20000423
YKIA --- Yeo Kian Hung         802 1841 20110703
DSHE GBR David Shenkin          19 1841 20080910
DCAL --- Debbie Caldwell        96 1840 20100816
RJER --- Richard Jeremy         72 1840 20100816
