NICKstateNAME                   2009/can/toron092.tou 20090913
MKEN --- Mark Kenas            133 1870 20090525
MWIW --- Maiyarit Wiwat         54 1870 20090628
KKHO --- Karl Khoshnaw         182 1869 20060713
NETI NGA Nsikan Etim            14 1868 20081005
ATAM --- Adrian Tamas          247 1866 20090628
CMEN --- Christian Mensah       24 1865 20060924
PAVR --- Paul Avrin             18 1865 19951026
PSIN --- Peter Sinton          241 1864 20061106
WWAR --- Wilma Warwick          60 1863 20071203
AWEB --- Alec Webb              93 1862 20080615
MPHI --- Manop Phiphat         261 1861 20090628
RTAL --- Rogelio Talosig       139 1861 20061106
SPOL --- Steve Polatnick       282 1859 20090525
WMWA --- Willy Mwangi           96 1859 20081010
RKEN --- Rik Kennedy            62 1859 20081101
WWIL --- Walker Willingham      24 1859 20031023
TLEA --- Tony Leah              96 1855 20090913
NKES --- Nuttakrit Keska       133 1854 20041219
MHOR --- Michael Hornung        73 1854 20081130
UAND --- Umogbai Andrew         24 1854 20000423
RDEL --- Renante dela Cerna     23 1852 19990627
LBEN --- Larry Benjamin         18 1852 19930830
KSRI --- Kittana Srimaha        12 1852 20000705
BCHO --- Benjamin Chow          86 1851 20071204
JNEU --- Jim Neuberger          18 1851 19930830
LPOW --- Lynne Powell           47 1850 19981123
MGON --- Michael Gongolo       296 1848 20081010
SPOL --- Sompong Polsongkram   187 1848 20080629
NMBU --- Nicholas Mbugua        96 1848 20081010
FWEA --- Feargal Weatherhead    78 1848 20090717
CPLA --- Chrys Placca          224 1847 20090109
RMAG --- Robins Magaki         130 1847 20090606
SLOB --- Selwyn Lobo           362 1845 20090606
VHIN --- Varisht Hingorani     188 1845 20090118
RJER --- Richard Jeremy         48 1844 20081130
LBUT --- Lynne Butler          159 1843 20071111
PFIN --- Pete Finley            66 1843 20051119
KKHA --- Kweku Khan             24 1842 20000423
GHAI GBR Graham Haigh           13 1842 20080210
BBOW USA Brian Bowman           20 1841 20090525
DSHE GBR David Shenkin          19 1841 20080910
RCRE --- Ronald Credo          181 1840 20090606
RHON --- Russell Honeybun       48 1840 20081130
JROS --- Joan Rosenthal        276 1838 20081130
ASAK --- Atiruth Sakdiyakorn   151 1838 20090628
TMAR --- Theodoro Martus        81 1838 20081130
LLAB --- Leonora Labog          52 1838 20070625
EMEN --- Edem Mensah            21 1838 19971127
BPAC --- Bryn Packer            12 1838 20071203
CDOD --- Carmel Dodd           184 1837 20081130
RTAT GBR Ray Tate               38 1837 20090109
NONO NGA Noble Onoshevwe        14 1837 20081005
AKAN --- Alistair Kane         208 1834 20080505
CFEN GBR Christopher Fenwick    13 1834 20080210
GCAR --- Gerry Carter          715 1833 20090628
GWRI --- Geoff Wright           79 1833 20001126
MCHA GBR Maureen Chamberlain    19 1833 20080910
WIQB --- Wajid Iqbal           186 1832 20080113
SSUN --- Steve Sunter           79 1831 20001126
JJAC GBR Jake Jacobs            94 1830 20090109
NKWA --- Nana Kwame             24 1830 20000423
JFOL --- John Foley             47 1829 19981123
MCAM --- Michael Cameron        24 1829 20041126
ASIM --- Allan Simmons         207 1828 20090109
CCRE --- Chris Cree             48 1828 20081116
MWHI --- Mike Whiteoak          51 1827 20080111
DPOD --- David Poder            24 1827 20051119
CABO --- Chris Abordo          186 1826 20040604
AIKO --- Anthony Ikolo          86 1826 20081116
PMPU --- Patrick Mpundu         42 1826 20041003
JMCG GBR Joseph McGinley        38 1824 20080505
PCHE --- Pui Cheng Wui         239 1822 20071130
ADRE --- Anne Drew              72 1822 20081130
ASAM --- Asare Samson           38 1822 20081005
AHAH --- Albert Hahn           235 1821 20090414
VCHU --- Victor Chua            86 1821 20081130
ATAN --- Alex Tan              369 1819 20090619
IZET --- Ivor Zetler            27 1819 20000528
SHAR --- Simon Harinworrarob   276 1817 20080629
AFAS --- Ayo Faseyiro           24 1817 20021020
RKHA --- Rashid Khan            93 1816 20051119
TWEI --- Toh Weibin             64 1816 20071204
ORIV --- Oscar Rivera          134 1815 20071129
AGOL --- Andrew Golding         78 1814 20090913
TCHA --- Travis Chaney          57 1814 20090414
RMAC --- Ross Mackenzie         24 1813 20081101
PVUT --- Purinth Vuttich        60 1812 20071130
RATT --- Ras Attachey           24 1812 20000423
MOTI --- Manase Otieno         211 1811 20081010
SVIJ --- Sinna Vijayakumar      48 1810 20070909
AOYE TZA Allan Oyende           48 1809 20081010
MCHA GBR Michael Chappell       25 1809 20080505
RCHA --- Ranganathan Chakrav   216 1808 20080113
BHAR --- Barry Harridge         58 1807 20061129
OAKA IND Olobatoke Aka         160 1806 20090628
LLI  --- Lim Li Wei            153 1806 20081130
JCAR GBR Jason Carney           38 1805 20090109
DPRA --- Daniel Pratt           24 1804 20071111
MCHO --- Montien Choltichanan  160 1803 20090628
ECOH --- Evan Cohen             98 1803 20090503
MEAR USA Michael Early          38 1802 20081116
