NICKstateNAME                   2010/isr/israel10.tou 20101010
SKAN --- Sam Kantimathi        601 1885 20101010
PEPS --- Paul Epstein           47 1885 20000604
AKUR --- Andy Kurnia           412 1884 20081130
MKEN --- Mark Kenas            267 1884 20101003
TRAB --- Tawano Rabong          69 1884 20000705
NBAL --- Nick Ball             188 1883 20101003
KHIR --- Keiichiro Hirai       122 1883 20051119
TCHA NGA Ted Chambers           21 1883 20091009
HWIL GBR Howard Wilde           20 1883 20090717
MGON --- Michael Gongolo       365 1882 20091204
VAMA --- Victor Amartey         48 1882 20060924
WZXQ CAN Winter Zxqkj            7 1882 20100716
BJAC --- Bob Jackman           667 1881 20100816
DSAL --- Dean Saldanha         158 1880 20090719
BTHO --- Blue Thorogood        153 1880 20100816
AOLA --- Adigun Olatunde        72 1880 20102002
MPRA --- Mike Pray              52 1880 20000526
WSUT --- Waiyapot Suttawass     53 1879 20030629
ARIC --- Alastair Richards     620 1878 20100816
CCRE --- Chris Cree             80 1878 20100816
ASHI --- Austin Shin           152 1877 20091130
SHOL --- Stewart Holden        114 1876 20100124
JASH GBR John Ashmore           80 1876 20090717
NETI NGA Nsikan Etim            34 1876 20091009
KHEA --- Ken Heaton             18 1876 19930830
ASAI IND Ayorinde Saidu        238 1875 20091130
MSIG --- Mike Sigley           218 1875 20100816
SGRU --- Steven Gruzd          137 1875 20031023
BTAR GBR Ben Tarlow             25 1875 20080505
JGRA --- Jeff Grant            457 1874 20100816
BSUG --- Brian Sugar           119 1874 20100108
RTAL --- Rod Talbot            184 1873 20100816
DESA --- Dokun Esan             58 1872 20091009
JTAB --- John Tabasa            24 1872 20051119
ECOH --- Evan Cohen            177 1870 20101010
MWIW --- Maiyarit Wiwat         54 1870 20090628
GJIA --- Goh Jiang Pern        366 1869 20091204
SPOL --- Steve Polatnick       314 1869 20100816
KKHO --- Karl Khoshnaw         182 1869 20060713
NMBU --- Nicholas Mbugua       120 1868 20100606
NSAY --- Nawapadol Sayavesa    332 1866 20100620
MPHI --- Manop Phiphat         288 1865 20100620
PROB --- Phil Robertshaw       251 1865 20100108
PAVR --- Paul Avrin             18 1865 19951026
ASIM --- Allan Simmons         243 1864 20091129
WWAR --- Wilma Warwick          60 1863 20071203
ABHA --- Akshay Bhandarkar     463 1862 20100115
SPER GBR Steve Perry           204 1862 20100124
AOYE TZA Allan Oyende          141 1862 20100606
AWEB --- Alec Webb              93 1862 20080615
WMWA --- Willy Mwangi          189 1861 20100606
WWIL --- Walker Willingham      24 1859 20031023
THOV --- Trevor Hovelmeier     224 1858 20091129
EDAN --- Elie Dangoor          252 1857 20101010
JMCG GBR Joseph McGinley        51 1856 20100124
MSCH --- Mark Schellenberg     107 1855 20091204
NKES --- Nuttakrit Keska       133 1854 20041219
TBAR --- Thitipol Barameem      82 1854 20100620
MHOR --- Michael Hornung        73 1854 20081130
UAND --- Umogbai Andrew         24 1854 20000423
YKIA --- Yeo Kian Hung         658 1853 20100827
CKHO --- Charnrit Khongthan    264 1852 20100620
MTHE USA Michael Thelen         32 1852 20100215
LBEN --- Larry Benjamin         18 1852 19930830
KSRI --- Kittana Srimaha        12 1852 20000705
MMCK --- Michael McKenna       206 1851 20100816
BCHO --- Benjamin Chow          86 1851 20071204
JNEU --- Jim Neuberger          18 1851 19930830
LPOW --- Lynne Powell           47 1850 19981123
SPOL --- Sompong Polsongkram   187 1848 20080629
RMAG --- Robins Magaki         130 1847 20090606
NONO NGA Noble Onoshevwe        35 1847 20091009
TSUT --- Taewan Sutthasin      566 1846 20100620
ADRE --- Anne Drew              96 1846 20100816
VHIN --- Varisht Hingorani     188 1845 20090118
ABUD --- Anand Buddhdev        146 1845 20100124
CUME --- Cyril Umebiye          59 1844 20091009
RLOB --- Ralph Lobo            486 1843 20100827
VBAL --- Vannitha Balasingam   416 1843 20091130
MQUA --- Michael Quao          237 1843 20091130
LBUT --- Lynne Butler          159 1843 20071111
PFIN --- Pete Finley            66 1843 20051119
KKHA --- Kweku Khan             24 1842 20000423
GHAI GBR Graham Haigh           13 1842 20080210
DSHE GBR David Shenkin          19 1841 20080910
DCAL --- Debbie Caldwell        96 1840 20100816
RJER --- Richard Jeremy         72 1840 20100816
ATAM --- Adrian Tamas          354 1839 20100108
LLI  --- Lim Li Wei            178 1839 20091208
RKHA --- Rashid Khan           117 1839 20091129
JROS --- Joan Rosenthal        276 1838 20081130
ASAK --- Atiruth Sakdiyakorn   151 1838 20090628
FWEA --- Feargal Weatherhead   129 1838 20100124
LLAB --- Leonora Labog          52 1838 20070625
EMEN --- Edem Mensah            21 1838 19971127
BPAC --- Bryn Packer            12 1838 20071203
TKIR --- Terry Kirk            380 1836 20100518
TKOO --- Thacha Koowirat       258 1835 20100620
RZIN ISR Ricky Zinger           20 1835 20091016
RCRE --- Ronald Credo          230 1834 20100625
AKAN --- Alistair Kane         208 1834 20080505
VKIN --- Venayori Kinga         59 1834 20091009
CFEN GBR Christopher Fenwick    13 1834 20080210
GWRI --- Geoff Wright           79 1833 20001126
WIQB --- Wajid Iqbal           186 1832 20080113
CREI USA Charles Reinke         15 1832 20101003
SSUN --- Steve Sunter           79 1831 20001126
EPER --- Esther Perrins        286 1830 20100816
JJAC GBR Jake Jacobs            94 1830 20090109
NKWA --- Nana Kwame             24 1830 20000423
JFOL --- John Foley             47 1829 19981123
MCAM --- Michael Cameron        24 1829 20041126
TCHA --- Travis Chaney         123 1828 20100816
OOJI NGA Osikhena Ojior         34 1828 20091009
OJOH NGA Okoroigwe John         20 1828 20091009
DPOD --- David Poder            24 1827 20051119
LCHA --- Leslie Charles        149 1823 20091204
PMPU --- Patrick Mpundu        111 1823 20091204
GNEW --- Geoffrey Newman        35 1823 20100926
PSIN --- Peter Sinton          265 1822 20100816
NGRE --- Neil Green             85 1822 20100124
ASAM --- Asare Samson           38 1822 20081005
MTAN --- Michael Tang          828 1819 20100620
KRIC --- Karen Richards        621 1819 20100816
PMOO THA Phuttaphong Moolasar   54 1819 20100620
IZET --- Ivor Zetler            27 1819 20000528
MJAC THA Mpakaboari Jack       212 1818 20091208
WKHA IND Waseem Khatri          93 1818 20091204
SHAR --- Simon Harinworrarob   276 1817 20080629
AFAS --- Ayo Faseyiro           24 1817 20021020
TWEI --- Toh Weibin             64 1816 20071204
VCHU --- Victor Chua           131 1814 20091204
ACHO --- Apirat Choomai        293 1813 20100620
AHAH --- Albert Hahn           251 1813 20100320
BWIL GBR Ben Wilson             32 1813 20100124
DKAN --- David Kangethe        138 1812 20100606
