NICKstateNAME                   2011/ger/germopen.tou 20110313
VHIN --- Varisht Hingorani     188 1845 20090118
NGRE --- Neil Green             98 1845 20110123
RLOB --- Ralph Lobo            486 1843 20100827
LBUT --- Lynne Butler          159 1843 20071111
PFIN --- Pete Finley            66 1843 20051119
KKHA --- Kweku Khan             24 1842 20000423
DSHE GBR David Shenkin          19 1841 20080910
DCAL --- Debbie Caldwell        96 1840 20100816
RJER --- Richard Jeremy         72 1840 20100816
ATAM --- Adrian Tamas          354 1839 20100108
LLI  --- Lim Li Wei            178 1839 20091208
RKHA --- Rashid Khan           117 1839 20091129
JROS --- Joan Rosenthal        276 1838 20081130
ASAK --- Atiruth Sakdiyakorn   151 1838 20090628
JMCG GBR Joseph McGinley        64 1838 20110123
EMEN --- Edem Mensah            21 1838 19971127
BPAC --- Bryn Packer            12 1838 20071203
RLIN --- Robert Linn           386 1837 20110221
WKHA IND Waseem Khatri         138 1837 20101205
LCOH USA Laurie Cohen           21 1836 20110221
RBAL --- Rasheed Balogun       234 1835 20110117
RZIN ISR Ricky Zinger           20 1835 20091016
RCRE --- Ronald Credo          230 1834 20100625
AKAN --- Alistair Kane         208 1834 20080505
CFEN GBR Christopher Fenwick    13 1834 20080210
GWRI --- Geoff Wright           79 1833 20001126
WIQB --- Wajid Iqbal           186 1832 20080113
TMAY --- Tuoyo Mayuku          106 1832 20101031
CREI USA Charles Reinke         15 1832 20101003
SSUN --- Steve Sunter           79 1831 20001126
EPER --- Esther Perrins        286 1830 20100816
JJAC GBR Jake Jacobs            94 1830 20090109
NKWA --- Nana Kwame             24 1830 20000423
AHAH --- Albert Hahn           296 1829 20101205
JFOL --- John Foley             47 1829 19981123
MCAM --- Michael Cameron        24 1829 20041126
OJOH NGA Okoroigwe John         20 1828 20091009
RAND MYS Ryan Anderson         115 1827 20101205
DPOD --- David Poder            24 1827 20051119
OOJI NGA Osikhena Ojior         57 1825 20101031
LCHA --- Leslie Charles        149 1823 20091204
GNEW --- Geoffrey Newman        35 1823 20100926
SPER GBR Steve Perry           282 1822 20110123
PSIN --- Peter Sinton          265 1822 20100816
AWEB --- Alec Webb             111 1822 20110103
JRYA GHA Jacob Ryan             30 1821 20101024
TKIR --- Terry Kirk            450 1820 20110313
PEDW TZA Phillip Edwin-Mugish  171 1820 20101024
EBOB NGA Edewor Bobor           43 1820 20101031
PMOO THA Phuttaphong Moolasar   54 1819 20100620
UGRO --- Udayan Grover         292 1817 20110117
SHAR --- Simon Harinworrarob   276 1817 20080629
AFAS --- Ayo Faseyiro           24 1817 20021020
RCHA --- Ranganathan Chakrav   266 1815 20110117
VCHU --- Victor Chua           131 1814 20091204
MQUA --- Michael Quao          267 1813 20101024
BUFE NGA Ben Ufeli              79 1813 20101031
BWIL GBR Ben Wilson             32 1813 20100124
DKAN --- David Kangethe        138 1812 20100606
TSUP --- Tanasak Supaphibunk   130 1812 20100620
PVUT --- Purinth Vuttich        60 1812 20071130
RATT --- Ras Attachey           24 1812 20000423
TSIM --- Tony Sim             1087 1811 20110117
MOTI --- Manase Otieno         211 1811 20081010
JFOS --- John Foster           167 1810 20100816
DSAL --- Dielle Saldanha        91 1810 20091130
RDEL --- Renante dela Cerna     56 1810 20090920
SVIJ --- Sinna Vijayakumar      48 1810 20070909
COTO GHA Carlos Otoo            30 1810 20101024
MCHA GBR Michael Chappell       25 1809 20080505
NSAY --- Nawapadol Sayavesa    377 1808 20101205
CPLA --- Chrys Placca          367 1808 20101031
BHAR --- Barry Harridge         58 1807 20061129
TCHA --- Travis Chaney         130 1806 20101017
SBRO --- Steven Brown          120 1806 20100816
JCAR GBR Jason Carney           38 1805 20090109
DPRA --- Daniel Pratt           24 1804 20071111
PTHO GBR Paul Thompson          18 1804 20110103
MCHO --- Montien Choltichanan  160 1803 20090628
BSUG --- Brian Sugar           137 1803 20110103
ISUN NGA Ishaya Sunny           23 1803 20101031
MEAR USA Michael Early          38 1802 20081116
RBAK --- Rich Baker             24 1802 20031023
EBOR --- Emil Borboran          18 1802 19970526
ORIV --- Oscar Rivera          269 1801 20101211
JGON --- Jodi Gonzalez          86 1801 20051218
KRIC --- Karen Richards        760 1799 20110123
DSRI --- Daniel Srichawla      267 1799 20101205
ALAO --- Armando Lao            57 1799 19971127
ILAN --- Isaac Lango            24 1799 20011216
MBAK --- Michael Baker          24 1795 20071111
JHOL --- John Holgate          310 1794 20081130
NPRA --- Nakul Prabhu          263 1794 20110117
BLYN GBR Bob Lynn               86 1794 20110105
BIDA NGA Bright Idahosa         82 1794 20101205
RFUA --- Raja Fuadin            95 1793 20021222
JNEV --- Johnny Nevarez         36 1793 19951026
MTEO --- Martin Teo            210 1792 20101205
VIKA --- Victor Ikawa          127 1792 20091129
PRAY --- Paloma Raychbart      271 1791 20100518
SGIL --- Simon Gillam           85 1791 20100518
MEIC --- Maor Eichler           24 1791 20011216
FOLO --- Fidelis Olotu         108 1789 20100816
CQUA GBR Chris Quartermaine     49 1789 20091011
GLAM --- Gwen Lampre             8 1789 19991102
PKAL --- Paul Kalumba          150 1787 20101024
BGRO GBR Barry Grossman         93 1787 20100108
