NICKstateNAME                   2009/gbr/ukopen09.tou 20090109
JROS --- Joan Rosenthal        276 1838 20081130
TMAR --- Theodoro Martus        81 1838 20081130
LLAB --- Leonora Labog          52 1838 20070625
EMEN --- Edem Mensah            21 1838 19971127
BPAC --- Bryn Packer            12 1838 20071203
CDOD --- Carmel Dodd           184 1837 20081130
NONO NGA Noble Onoshevwe        14 1837 20081005
RTAT GBR Ray Tate               38 1837 20090109
RPUR --- Ricky Purnomo         378 1834 20081130
AKAN --- Alistair Kane         208 1834 20080505
CFEN GBR Christopher Fenwick    13 1834 20080210
GWRI --- Geoff Wright           79 1833 20001126
MCHA GBR Maureen Chamberlain    19 1833 20080910
WIQB --- Wajid Iqbal           186 1832 20080113
SSUN --- Steve Sunter           79 1831 20001126
JJAC GBR Jake Jacobs            94 1830 20090109
NKWA --- Nana Kwame             24 1830 20000423
ECOH --- Evan Cohen             78 1829 20081026
JFOL --- John Foley             47 1829 19981123
MCAM --- Michael Cameron        24 1829 20041126
ASIM --- Allan Simmons         207 1828 20090109
CCRE --- Chris Cree             48 1828 20081116
MWIW --- Maiyarit Wiwat         27 1828 20070625
RLOB --- Ralph Lobo            361 1827 20080606
MWHI --- Mike Whiteoak          51 1827 20080111
DPOD --- David Poder            24 1827 20051119
CABO --- Chris Abordo          186 1826 20040604
AIKO --- Anthony Ikolo          86 1826 20081116
PMPU --- Patrick Mpundu         42 1826 20041003
JMCG GBR Joseph McGinley        38 1824 20080505
PCHE --- Pui Cheng Wui         239 1822 20071130
ADRE --- Anne Drew              72 1822 20081130
AGOL --- Andrew Golding         52 1822 20070708
ASAM --- Asare Samson           38 1822 20081005
VCHU --- Victor Chua            86 1821 20081130
IZET --- Ivor Zetler            27 1819 20000528
SHAR --- Simon Harinworrarob   276 1817 20080629
AFAS --- Ayo Faseyiro           24 1817 20021020
ASAK --- Atiruth Sakdiyakorn   131 1816 20080629
RKHA --- Rashid Khan            93 1816 20051119
TWEI --- Toh Weibin             64 1816 20071204
ORIV --- Oscar Rivera          134 1815 20071129
RMAC --- Ross Mackenzie         24 1813 20081101
PVUT --- Purinth Vuttich        60 1812 20071130
RATT --- Ras Attachey           24 1812 20000423
MOTI --- Manase Otieno         211 1811 20081010
NPRA --- Nakul Prabhu           96 1811 20080113
SVIJ --- Sinna Vijayakumar      48 1810 20070909
AOYE TZA Allan Oyende           48 1809 20081010
MCHA GBR Michael Chappell       25 1809 20080505
RCHA --- Ranganathan Chakrav   216 1808 20080113
BHAR --- Barry Harridge         58 1807 20061129
LLI  --- Lim Li Wei            153 1806 20081130
JCAR GBR Jason Carney           38 1805 20090109
DPRA --- Daniel Pratt           24 1804 20071111
SSAL --- Salah Salih           289 1803 20080606
MCHO --- Montien Choltichanan  133 1802 20080629
MEAR USA Michael Early          38 1802 20081116
