NICKstateNAME                   2011/mys/jbprr25.tou 20111208
DSTE GBR David Steel            60 1800 20110123
MSUL --- Mohammad Sulaiman     377 1799 20111130
ALAO --- Armando Lao            57 1799 19971127
ILAN --- Isaac Lango            24 1799 20011216
DSRI --- Daniel Srichawla      244 1797 20111120
OBUL POL Orlet Bullock          34 1796 20111015
MBAK --- Michael Baker          24 1795 20071111
RTAL --- Rod Talbot            207 1794 20110626
RFUA --- Raja Fuadin            95 1793 20021222
JNEV --- Johnny Nevarez         36 1793 19951026
ASMI GHA Anthony Smith          30 1793 20101024
PKAL --- Paul Kalumba          150 1792 20101024
GJIA --- Goh Jiang Pern        366 1791 20101205
MEIC --- Maor Eichler           24 1791 20011216
PSOD --- Paul Sodje             69 1790 20110909
GLAM --- Gwen Lampre             8 1789 19991102
RCHA --- Ranganathan Chakrav   242 1787 20110117
DLLO --- David Lloyd            72 1787 20031023
RROM --- Rodney Romany          52 1787 20111015
LFRE USA Lucas Freeman          14 1787 20110320
LBUT --- Lynne Butler          193 1786 20111015
FWAC --- Francis Wachira       163 1786 20110423
LCAP --- Leo Capuno             94 1786 20060609
KJEN --- Ker Jen Ho             80 1786 20111015
RNOR --- Rita Norr              36 1786 19951026
TTAN --- Teong-Chuan Tan        36 1786 19980920
MMAT --- Manabu Matsuda         24 1786 20071111
MREE --- Martin Reed            24 1786 20050226
JJON --- Jj Jonah               21 1786 19971127
ECLI USA Evans Clinchy          18 1786 20110905
NPRA --- Nakul Prabhu          191 1785 20110117
AGBO --- Alex Gboye Balogun     84 1785 20110123
TADI NIG Tunde Adigun           22 1785 20110909
YEN  --- Yi En Gan             161 1784 20110528
SPOL --- Sompong Polsongkram   160 1784 20070625
MMAR --- Mwaka Martin           42 1784 20030608
VAMA --- Victor Amartey         78 1781 20101024
ABHA MYS Anand Bharadwaj        24 1781 20111208
LLAB --- Leonora Labog         132 1780 20110626
NESA --- Niyi Esan              24 1780 20000423
PNAT --- Pasit Natearpha        42 1779 20071204
DOMU --- Dennis Omulo           24 1779 20021020
EBOA --- Edwin Boama            24 1779 19980412
SO'N --- Shane O'Neill          48 1778 20071111
TCHA --- Travis Chaney         110 1777 20110327
SBRO --- Steven Brown           96 1777 20100816
MWAF KEN Mackton Wafula         25 1777 20110423
TWIC --- Thepparit Wichaya      80 1776 20040628
DTAY NIG Dayo Tayo              22 1775 20110909
BKOY --- Bernard Koyyoko        67 1774 20110423
JCHE CAN John Chew              47 1772 20110410
GCHE --- Gan Cher Siong        236 1771 20070625
ATAN --- Austin Tan Kiat        44 1771 19990627
PSHA --- Peter Shaw             17 1771 20061129
VBER --- Victor Berdie          24 1770 20000423
CWOR --- Charae Worapotpisut   291 1768 20110626
NDEC --- Noppadol Dechat        54 1768 20070625
HMAU MYS Helen Maurus           45 1768 20101205
MSTA --- Margaret Staunton      16 1768 20030630
KSWA --- Kathy Swan             16 1767 20030630
EKIN OMN Eric Kinderman        129 1766 20111130
WSAE --- Weera Saengsit         98 1766 20100620
NSAL --- Norbert Saldanha       82 1766 19990815
UAND --- Umogbai Andrew         69 1766 20110909
JNAN --- Jim Nanavati           45 1766 19991106
ABRA --- Andrew Bradley         72 1765 20100816
SGUP --- Sanjoy Gupta          278 1764 20111130
LPRA --- Linda Pray             59 1764 19991106
MDE  --- Margarida de Souza     24 1763 20011216
SATT --- Solomon Attachey       24 1763 19980412
